"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1551","Тест успешной авторизации курьера","tests","2026-07-12","passed","2026-07-12","TestLoginCourier","test_login_courier","",""
"","2205","Тест авторизации с неправильным логином","tests","2026-07-12","passed","2026-07-12","TestLoginCourier","test_login_courier","",""
"","1012","Тест создания заказа с разными комбинациями цветов","tests","2026-07-12","passed","2026-07-12","TestCreateOrder","test_create_order","",""
"","486","Тест создания курьера без обязательного поля","tests","2026-07-12","passed","2026-07-12","TestCreateCourier","test_create_courier","",""
"","531","Тест авторизации с несуществующим пользователем","tests","2026-07-12","passed","2026-07-12","TestLoginCourier","test_login_courier","",""
"","488","Тест создания курьера без обязательного поля","tests","2026-07-12","passed","2026-07-12","TestCreateCourier","test_create_courier","",""
"","969","Тест создания заказа с разными комбинациями цветов","tests","2026-07-12","passed","2026-07-12","TestCreateOrder","test_create_order","",""
"","2440","Тест создания двух одинаковых курьеров","tests","2026-07-12","passed","2026-07-12","TestCreateCourier","test_create_courier","",""
"","999","Тест создания заказа с двумя цветами","tests","2026-07-12","passed","2026-07-12","TestCreateOrder","test_create_order","",""
"","989","Тест создания заказа с цветом BLACK","tests","2026-07-12","passed","2026-07-12","TestCreateOrder","test_create_order","",""
"","2079","Тест создания нового курьера","tests","2026-07-12","passed","2026-07-12","TestCreateCourier","test_create_courier","",""
"","60975","Тест авторизации без обязательного поля","tests","2026-07-12","skipped","2026-07-12","TestLoginCourier","test_login_courier","",""
"","1023","Тест создания заказа с цветом GREY","tests","2026-07-12","passed","2026-07-12","TestCreateOrder","test_create_order","",""
"","14911","Тест получения списка заказов","tests","2026-07-12","passed","2026-07-12","TestGetOrders","test_get_orders","",""
"","12989","Тест получения списка заказов с пагинацией","tests","2026-07-12","passed","2026-07-12","TestGetOrders","test_get_orders","",""
"","2043","Тест создания курьера с существующим логином","tests","2026-07-12","passed","2026-07-12","TestCreateCourier","test_create_courier","",""
"","2080","Тест авторизации с неправильным паролем","tests","2026-07-12","passed","2026-07-12","TestLoginCourier","test_login_courier","",""
"","945","Тест создания заказа с разными комбинациями цветов","tests","2026-07-12","passed","2026-07-12","TestCreateOrder","test_create_order","",""
"","963","Тест создания заказа с разными комбинациями цветов","tests","2026-07-12","passed","2026-07-12","TestCreateOrder","test_create_order","",""
"","1036","Тест создания заказа без указания цвета","tests","2026-07-12","passed","2026-07-12","TestCreateOrder","test_create_order","",""
"","2136","Тест авторизации без обязательного поля","tests","2026-07-12","passed","2026-07-12","TestLoginCourier","test_login_courier","",""
